Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.1,0.3,0.15,,,,,,,,,,,,,4.507527,0.061808,0.0125,0.963225,,1.238889,1.069051,12.257,,,,,,2.718,0.43,0.73,0.82,0.78,0.16,6.2724,2.3255813953488373
0.1,0.3,0.25,,,,,,,,,,,,,4.479597,0.069092,0.0125,0.972537,,0.95,0.0,9.88,,,,,,1.492,0.37,1.1,1.23,0.43,0.25,4.0686,2.702702702702702
0.1,0.3,0.35,,,,,,,,,,,,,3.840193,0.077268,0.0125,0.983009,,2.255556,0.591216,9.56,,,,,,1.862,0.38,0.38,0.38,0.38,0.21,4.8564,2.6315789473684212
0.1,0.3,0.4,,,,,,,,,,,,,4.414831,0.07373,0.0125,0.986931,,1.37,0.948053,17.303,,,,,,1.468,0.37,1.33,1.33,0.45,0.25,4.004,2.702702702702702
0.1,0.3,0.5,,,,,,,,,,,,,4.710851,0.091589,0.0125,0.990676,,2.0,0.353029,11.976,,,,,,1.264,0.48,1.78,1.8,0.6,0.38,2.6148,2.0833333333333335
0.1,0.3,0.65,,,,,,,,,,,,,2.579844,0.102453,0.0125,0.986189,,2.803333,1.567172,11.574,,,,,,,,,,,,,
0.15,0.02,0.15,,,,,,,,,,,,,1.958994,0.093607,0.0125,0.962871,,1.316667,0.0,8.036,,,,,,0.904,0.38,0.38,0.38,0.38,0.42,2.3586,2.6315789473684212
0.15,0.02,0.25,,,,,,,,,,,,,0.343052,0.149844,0.0125,0.872909,,2.12037,0.972639,10.225,9.458367,20.967742,13.0,49.0,62.0,,,,,,,,
0.15,0.02,0.35,,,,,,,,,,,,,1.041696,0.077674,0.0125,0.891271,,4.246341,4.316785,5.259,39.759036,73.333333,55.0,20.0,75.0,72.054,3.55,3.55,3.55,0.3,0.05,20.297,0.2816901408450704
0.15,0.02,0.4,,,,,,,,,,,,,0.727446,0.07054,0.0125,0.866471,,,,5.155,,,,,,1.706,2.12,2.12,2.12,0.22,1.24,0.8058,0.4716981132075471
0.15,0.02,0.5,,,,,,,,,,,,,0.968666,0.074738,0.0125,0.853422,,5.880047,9.604902,7.492,46.227929,95.522388,64.0,3.0,67.0,1.422,1.88,1.88,1.88,0.22,1.32,0.75522,0.5319148936170213
0.15,0.02,0.65,,,,,,,,,,,,,1.239367,0.07416,0.0125,0.860724,,9.857292,14.642789,7.681,,,,,,0.351,0.18,0.18,0.18,0.18,0.52,1.9143,5.555555555555555
0.15,0.04,0.15,,,,,,,,,,,,,4.269765,0.093607,0.0125,0.962871,,1.316667,0.0,11.113,,,,,,1.497,0.3,2.03,2.07,0.48,0.2,4.9889,3.3333333333333335
0.15,0.04,0.25,,,,,,,,,,,,,1.816466,0.149844,0.0125,0.872909,,0.908333,0.270288,10.225,9.458367,20.967742,13.0,49.0,62.0,0.194,1.65,1.65,1.65,0.3,8.5,0.11766,0.6060606060606061
0.15,0.04,0.35,,,,,,,,,,,,,1.961998,0.077674,0.0125,0.891271,,4.246341,4.316785,5.259,39.759036,73.333333,55.0,20.0,75.0,3.617,2.02,2.02,2.02,0.5,0.56,1.7937,0.495049504950495
0.15,0.04,0.4,,,,,,,,,,,,,1.177281,0.121944,0.0125,0.964369,,2.075,0.785104,5.155,,,,,,7.54,2.37,2.37,2.37,0.23,0.31,3.1861,0.4219409282700421
0.15,0.04,0.5,,,,,,,,,,,,,1.558622,0.074738,0.0125,0.853422,,4.583122,4.261477,7.492,46.227929,95.522388,64.0,3.0,67.0,0.022,0.65,0.65,0.65,0.23,30.22,0.033086,1.5384615384615383
0.15,0.04,0.65,,,,,,,,,,,,,1.539632,0.07416,0.0125,0.860724,,4.742667,5.352523,7.681,48.233861,92.957746,66.0,5.0,71.0,57.761,4.22,4.22,4.22,0.23,0.07,13.698,0.2369668246445497
0.15,0.06,0.15,,,,,,,,,,,,,4.638054,0.093607,0.0125,0.962871,,1.545833,0.326138,11.113,,,,,,1.78,0.4,1.1,1.1,1.1,0.22,4.4503,2.5
0.15,0.06,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.439067,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,0.944,0.25,0.37,0.42,0.45,0.26,3.7749,4.0
